Model,Scenario,Region,Variable,Unit,2020.0,2030.0,2040.0,2050.0,2060.0,2070.0,2080.0,2090.0,2100.0
paris_ratchet,2ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,282.1185344935606,198.50511598978707,188.14147331514687,178.28326486916393,177.54692468194875,173.09390506097188,166.83860543544466,155.69223536836319
paris_ratchet,2ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,31000.102669770597,10878.875468278795,-3006.653800717835,-6683.363753331375,-7229.538238701443,-7138.224102359496,-6934.271903919145,-6608.422090326655
paris_ratchet,2ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,507.5583856725872,186.7402,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,2ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9593.390415530846,7745.701768612361,7654.132790996716,7793.568055657745,7867.521412942872,7919.234665554569,7789.211684897109,7608.498325094173
paris_ratchet,2ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,306.89836417631915,236.24501565733127,192.90439536953406,178.1522042492081,178.09906307507157,173.28287409254332,166.87785408416582,155.6956477566067
paris_ratchet,2ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,35407.38526270217,22955.524090015137,8489.963778829962,-1218.508216350904,-5676.221344618482,-6836.866704231829,-6893.11817360555,-6604.469298892578
paris_ratchet,2ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,857.3007441465254,241.1799497026788,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,2ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10214.929504770316,9214.025832554351,8079.346257309545,7662.519395894765,7865.109834485495,7923.193254131009,7789.361804098601,7608.596646389916
paris_ratchet,3ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,260.8646232230077,186.811170935413,189.38080511130045,178.29558554621732,177.5354133314176,173.0933359968303,166.83859490755995,155.6922353213469
paris_ratchet,3ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,26780.808578649256,3048.220142715767,-6396.351634404046,-7197.100986050147,-7261.922828283464,-7139.13161449335,-6934.28294281454,-6608.422144788652
