Model,Scenario,Region,Variable,Unit,2020.0,2030.0,2040.0,2050.0,2060.0,2070.0,2080.0,2090.0,2100.0
paris_ratchet,2ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,280.0216373418085,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,2ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,30627.153443145562,-5220.740937009909,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,2ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,477.9627926148453,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,2ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9540.79507639356,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,2ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,304.2032456254106,222.791602642682,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,2ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,34928.0377761627,17062.86034793973,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,2ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,819.2618580674387,186.7402,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,2ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,10147.329301259248,8336.300805259572,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,3ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,254.5885907097376,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,3ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,25383.101675754046,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,3ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,3ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8772.447312613032,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,3ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,288.52943571399896,186.38863106472772,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,3ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,32140.330577531433,3308.6732252011643,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,3ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,598.0418047067225,186.5463264205329,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,3ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9754.191589581202,7492.657923277011,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,4ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,230.28483404740643,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,4ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,19956.783841647783,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,4ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,4ratchet_ndc,World,Emissions|N2O,kt N2O/yr,9736.593981814663,8073.759001463406,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,4ratchet_policy,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,272.8556258025874,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,4ratchet_policy,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,29352.623378900178,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,4ratchet_policy,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,376.8217513460077,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
paris_ratchet,4ratchet_policy,World,Emissions|N2O,kt N2O/yr,9736.593981814663,9361.05387790316,7679.441733465146,7611.3428078690695,7806.807086731432,7867.572277135151,7919.222732756811,7789.21164462829,7608.49832373949
paris_ratchet,5ratchet_ndc,World,Emissions|CH4,Mt CH4/yr,335.62794505299996,206.93340950185222,198.51652966758803,189.78489139696651,178.29650510850152,177.5352791668273,173.0933354313696,166.83859490716645,155.69223532134689
paris_ratchet,5ratchet_ndc,World,Emissions|CO2,Mt CO2-equiv/yr,37566.478678154344,14449.63976676179,-7779.848294560729,-7501.568503200366,-7235.444121021872,-7262.30027011198,-7139.132516258904,-6934.282943227157,-6608.4221447886775
paris_ratchet,5ratchet_ndc,World,Emissions|F-Gases,Mt CO2-equiv/yr,1094.8829150712265,345.7766,186.3334045,170.5857,174.3381,206.4058,193.9251,198.6612,232.7875
