climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,10^22 J,Heat Content,45.231345000000005,46.537605,47.688424999999995,48.81037499999999,50.072475,51.442,52.69581,53.90844,55.148435,56.328869999999995,57.48314,58.667625,59.79215,60.986965,62.283425,63.59237,65.04854,66.54186,68.1013,69.68786,71.24792,72.79867,74.282075,75.720095,77.111805,78.638125,80.345505,81.960785,83.572585,85.12755,86.66188,88.161675,89.51757,90.868435,92.21745,93.560325,94.986075,96.458695,97.97008,99.56957,101.330975,103.047455,104.486885,105.87705,107.32693,108.857865,110.55350999999999,112.118505,113.67548,115.23323500000001,116.811475,118.407085,120.0097,121.59870000000001,122.92605,124.15822,125.338905,126.72995,128.088715,129.44564,130.959585,132.372875,133.754085,135.11264,136.42004500000002,137.66905,138.86398,140.014365,141.134525,142.23521,143.32594999999998,144.43096,145.301265,146.15025,146.9781,147.765805,148.73371,149.74509,150.737275,151.7099,152.666685,153.559415,154.420895,155.29209500000002,156.10735499999998,156.91483,157.71458,158.49970000000002,159.26148,160.00089,160.71330999999998,161.3998,162.07557,162.71779,163.25237,163.80271,164.36643,164.94194,165.50834,166.04465,166.5539,167.03962,167.51032,167.97243,168.43475,168.90972
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,10^22 J,Heat Content|Ocean,40.517615,41.62312,42.68804,43.66229,44.89057,46.22813,47.50356,48.64854,49.69115,50.665775,51.631975,52.614215,53.66794,54.790495,55.94464,57.14576,58.45267,59.79181,61.18343,62.5018,63.646429999999995,64.762125,65.982445,67.22157,68.479555,69.75483,71.05767,72.3926,73.74365499999999,75.213045,76.72655,78.1165,79.733555,81.25956,82.494425,83.644635,84.76481,85.84813,86.95297,88.10255,89.328665,90.74897,92.19452,93.44228,94.835395,96.136545,97.32503,98.44843,99.56054,100.59858,101.62995,102.813455,104.1234,105.4475,106.72303,108.05228500000001,109.33664,110.662615,111.80923999999999,112.88334499999999,113.928305,114.99136999999999,116.02539999999999,116.96741,117.89275,118.9262,119.9487,120.921545,121.747995,122.55937,123.36292499999999,124.17842,125.01078000000001,125.84461999999999,126.56082,127.17618,127.75833,128.31508,128.85502,129.37757,129.88602,130.56268,131.373795,131.96669,132.45082000000002,132.942175,133.4284,133.903425,134.48441,135.08664499999998,135.66363,136.21681999999998,136.76275,137.309245,137.84051,138.198805,138.59795,139.07796000000002,139.550355,139.983825,140.381665,140.748715,141.097735,141.55667499999998,142.094655,142.651935
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.8814249999999999,0.94779,0.08243500000000001,1.076535,1.184245,1.16232,1.35752,1.286105,1.4897,1.28343,1.3932,1.394415,1.50094,1.90237,1.777825,1.783235,1.770335,1.73444,1.90768,1.65223,1.89651,1.965275,2.04202,2.14213,2.188245,2.21643,2.2945149999999996,2.344405,2.4084250000000003,2.4712500000000004,2.51784,2.557865,2.593005,2.634225,2.674255,2.71283,2.694375,2.6659100000000002,2.62629,2.588245,2.55398,2.51343,2.47985,2.445205,2.4147749999999997,2.3972,2.40234,2.386785,2.36806,2.344245,2.3129999999999997,2.279045,2.2455499999999997,2.21838,2.1856799999999996,2.166155,2.1468049999999996,2.132915,2.1080449999999997,2.07902,2.04268,2.000025,1.9597799999999999,1.920985,1.882525,1.85061,1.80034,1.74498,1.694725,1.6464500000000002,1.6058400000000002,1.55459,1.4898,1.442545,1.3998249999999999,1.34846,1.2858299999999998,1.213145,1.141925,1.080105,1.0153599999999998,0.960245,0.89909,0.84623,0.79253,0.7454350000000001,0.690225,0.6496500000000001,0.61871,0.5768800000000001,0.53252,0.48874,0.45137499999999997,0.40942,0.36736,0.32503499999999996,0.32188,0.32488,0.322275,0.31981499999999996,0.32095,0.32463,0.33155999999999997,0.33914,0.35253999999999996,0.36436
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.7400950000000002,1.693395,1.61344,1.7856049999999999,1.85254,1.729435,1.69958,1.799015,1.94835,1.93798,1.923715,1.9855450000000001,1.96755,1.9951599999999998,1.97439,2.03502,2.11571,2.09736,2.1863400000000004,2.156285,2.176615,2.2788500000000003,2.349565,2.38263,2.41378,2.4363,2.45455,2.4642,2.464245,2.4687599999999996,2.47263,2.48013,2.48305,2.48512,2.481955,2.4765,2.46645,2.451675,2.429175,2.399145,2.36346,2.33002,2.2938400000000003,2.26462,2.23163,2.19794,2.16383,2.12216,2.07945,2.032545,1.9806249999999999,1.921845,1.865635,1.809405,1.75806,1.70492,1.649,1.59583,1.5448149999999998,1.4941,1.44184,1.390705,1.3406850000000001,1.290175,1.23811,1.1856499999999999,1.13316,1.09019,1.0568149999999998,1.02398,0.989995,0.95086,0.9036649999999999,0.8575550000000001,0.819025,0.785975,0.753775,0.7257450000000001,0.69878,0.671325,0.64788,0.62518,0.6043499999999999,0.582885,0.5603800000000001,0.53815,0.515835,0.5018,0.489445,0.48078,0.47044,0.46033,0.448945,0.43621,0.42358,0.40485,0.38649,0.37163999999999997,0.360795,0.356625,0.355725,0.35221,0.348725,0.344105,0.33884499999999995,0.33126500000000003
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,1900.0,1850.0,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,K,Surface Temperature,0.5437014362745096,0.6063378088235292,0.6378088872549018,0.6743942794117646,0.7324486911764704,0.7715633970588234,0.8047381029411763,0.8229721225490194,0.8385382009803919,0.8516215343137252,0.8628564362745096,0.8769357499999999,0.8934776127450978,0.9215319264705881,0.9468021225490195,0.9692401617647057,1.0001383970588233,1.0244008480392155,1.0560352598039213,1.0796494754901957,1.1019652598039213,1.1234942794117646,1.1476575147058823,1.1716870245098037,1.1951302598039213,1.218137220588235,1.2477788872549018,1.27434075,1.3003447696078432,1.3285042794117645,1.3512901617647057,1.3713288872549017,1.390519475490196,1.4121644754901959,1.436238887254902,1.4600588872549018,1.4767177107843135,1.4938427107843135,1.5132027107843136,1.538085455882353,1.5608171225490193,1.5794921225490195,1.5955313382352938,1.611141338235294,1.6234493774509802,1.630918200980392,1.6374188872549018,1.644148887254902,1.6520388872549017,1.661438887254902,1.672939671568627,1.683914671568627,1.6950146715686272,1.703544671568627,1.7071546715686272,1.7044282990196074,1.6989182990196077,1.6927532990196075,1.6865682990196074,1.6819432990196075,1.6827215343137252,1.6868365343137253,1.689486534313725,1.6886396715686272,1.6867646715686273,1.6816246715686272,1.6740246715686273,1.6654596715686272,1.6573346715686272,1.6499096715686272,1.6437146715686273,1.640699671568627,1.6396996715686272,1.6385746715686271,1.6351746715686273,1.6291646715686272,1.6209196715686272,1.6124446715686271,1.6043446715686274,1.5960096715686272,1.5881196715686272,1.5806646715686272,1.5745846715686271,1.5707896715686271,1.5687396715686273,1.5670746715686272,1.5643820245098035,1.5618970245098036,1.5579070245098037,1.5534920245098036,1.5478120245098037,1.5418920245098038,1.5364152598039214,1.5318152598039214,1.5288452598039213,1.5280202598039214,1.5281552598039212,1.5291802598039212,1.5281202598039214,1.5243102598039213,1.5192402598039214,1.5133802598039214,1.5079802598039214,1.5026806519607843,1.4978806519607843,1.4953706519607843
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.5522549999999997,2.5956900000000003,2.634185,2.67667,2.719405,2.7664850000000003,2.80865,2.875045,2.942195,2.9982699999999998,3.0435049999999997,3.07125,3.0974950000000003,3.13021,3.16371,3.186315,3.204115,3.2216199999999997,3.2564,3.30237,3.354505,3.382355,3.402895,3.407435,3.4174800000000003,3.4064449999999997,3.390895,3.37392,3.3661950000000003,3.36749,3.37243,3.40093,3.41762,3.43565,3.432515,3.402295,3.368615,3.3377499999999998,3.3096449999999997,3.2868500000000003,3.2741,3.2758000000000003,3.29102,3.27189,3.25464,3.23609,3.19669,3.15943,3.13048,3.11117,3.095125,3.0853200000000003,3.095435,3.105175,3.10499,3.08744,3.0597149999999997,3.02731,3.0070300000000003,2.984495,2.95977,2.944215,2.926545,2.9162350000000004,2.917875,2.92019,2.91936,2.90836,2.89549,2.870735,2.8533049999999998,2.827445,2.8034999999999997,2.7914000000000003,2.782255,2.784685,2.7997249999999996,2.81046,2.8228799999999996,2.805265,2.77868,2.75275,2.727905,2.71307,2.700925,2.69921,2.70923
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.15759,-1.183865,-1.18078,-1.18802,-1.12779,-1.097835,-1.16647,-1.0999,-1.15506,-1.09594,-1.15202,-1.13814,-1.10703,-1.07512,-1.04244,-1.00827,-0.97792,-0.95061,-0.92279,-0.89437,-0.86529,-0.834805,-0.80617,-0.77845,-0.745455,-0.71176,-0.6872100000000001,-0.672495,-0.657635,-0.64296,-0.62818,-0.613265,-0.5982000000000001,-0.5829949999999999,-0.56767,-0.5522050000000001,-0.53815,-0.52652,-0.51482,-0.50302,-0.49111,-0.47909,-0.46699,-0.45478,-0.44246,-0.429755,-0.41813,-0.409135,-0.401355,-0.39403,-0.38592499999999996,-0.37765499999999996,-0.369345,-0.360995,-0.35250499999999996,-0.344275,-0.33733,-0.33265,-0.32835499999999995,-0.32404,-0.31922,-0.31423,-0.30922,-0.30323500000000003,-0.297675,-0.29263,-0.28638,-0.27932,-0.27222,-0.26507,-0.25789,-0.25067,-0.24318,-0.23354999999999998,-0.227935,-0.22107,-0.21348,-0.206845,-0.20019,-0.19351000000000002,-0.18891000000000002,-0.18339,-0.177915,-0.172845,-0.168925,-0.16394999999999998,-0.157275,-0.150335,-0.143725,-0.13709,-0.13044,-0.12309,-0.11554,-0.10708000000000001,-0.0986,-0.090985,-0.08457
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.288235,-0.28862,-0.28641,-0.28232,-0.276835,-0.27138,-0.267825,-0.26453499999999996,-0.25994,-0.254755,-0.24955499999999997,-0.243505,-0.23721,-0.230905,-0.224585,-0.218245,-0.21323999999999999,-0.20993,-0.206615,-0.202875,-0.19825,-0.19396999999999998,-0.1916,-0.188575,-0.18307,-0.17772,-0.175875,-0.175105,-0.174475,-0.17383500000000002,-0.17319,-0.172035,-0.17028,-0.168825,-0.16753,-0.165185,-0.16277,-0.16092499999999998,-0.159075,-0.157225,-0.15537,-0.15352,-0.15167,-0.149815,-0.14795999999999998,-0.14610499999999998,-0.144725,-0.143785,-0.142845,-0.14212999999999998,-0.141645,-0.140675,-0.1397,-0.138725,-0.137745,-0.136765,-0.13588499999999998,-0.13505,-0.13395,-0.13223,-0.13051000000000001,-0.12878499999999998,-0.12706,-0.12532500000000002,-0.123595,-0.12245500000000001,-0.12206,-0.12179,-0.12152,-0.12125,-0.12098,-0.12071,-0.12044,-0.12016,-0.11989,-0.11877,-0.11680499999999999,-0.11438999999999999,-0.11222,-0.110575,-0.108935,-0.10729,-0.10565,-0.10287,-0.10046,-0.09811,-0.095585
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.80646,-0.85043,-0.83731,-0.811755,-0.7855449999999999,-0.75868,-0.72919,-0.70108,-0.67647,-0.65134,-0.62565,-0.600625,-0.577455,-0.553755,-0.53027,-0.5094449999999999,-0.48238000000000003,-0.46287,-0.45158,-0.440155,-0.42862,-0.41695000000000004,-0.40342,-0.389725,-0.37709499999999996,-0.365005,-0.35277000000000003,-0.34203,-0.332855,-0.323615,-0.314295,-0.30574,-0.29579500000000003,-0.28579,-0.27569,-0.26549,-0.255205,-0.247155,-0.240635,-0.233475,-0.22627,-0.219045,-0.21178,-0.204465,-0.197105,-0.19092,-0.184945,-0.17966500000000002,-0.175105,-0.17053000000000001,-0.16594,-0.161315,-0.156675,-0.15202,-0.147345,-0.14176,-0.135625,-0.12956,-0.12445999999999999,-0.11963499999999999,-0.11477499999999999,-0.10847,-0.101825,-0.097495,-0.093135,-0.08897,-0.08488000000000001,-0.08138000000000001,-0.0776,-0.07517,-0.07082,-0.066385,-0.06323999999999999,-0.058325,-0.05363,-0.04976,-0.04459,-0.040135000000000004,-0.03361,-0.027700000000000002,-0.02094,-0.017765,-0.01401,-0.01028,-0.00454,-0.00034500000000000004,0.00206,0.00489
MAGICC7,d8db4684-bb0e-44b4-be6d-513054e3420d,paris_ratchet,0.5,,,World,ratchet_strength2_policy_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.5125649999999999,0.516305,0.5186949999999999,0.5198400000000001,0.51982,0.5187200000000001,0.51727,0.51549,0.513765,0.511825,0.5096350000000001,0.50722,0.50459,0.50177,0.49876,0.49564,0.49206,0.48792,0.48326,0.4781,0.47246,0.46631500000000004,0.45978,0.452705,0.445275,0.437495,0.42971,0.42117499999999997,0.41315,0.40542,0.397715,0.390025,0.382355,0.37482,0.36744,0.360095,0.35307999999999995,0.34639,0.34,0.33388,0.32802,0.32254499999999997,0.31728999999999996,0.31215000000000004,0.307035,0.302115,0.29762,0.29353,0.2898,0.28642,0.28336,0.280585,0.27807499999999996,0.27580499999999997,0.27376500000000004,0.271945,0.27027,0.26873,0.26722,0.26583500000000004,0.26456,0.26339,0.262305,0.261305,0.26036499999999996,0.25949,0.25861,0.257735,0.256865,0.256015,0.25517500000000004,0.254345,0.253525,0.252715,0.251905,0.251085,0.2501,0.24882500000000002,0.24745,0.246,0.244655,0.24334,0.24197000000000002,0.240535,0.23904999999999998
