climate_model,data_id,model,quantile,reference_period_end_year,reference_period_start_year,region,scenario,stage,todo,unit,variable,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,10^22 J,Heat Content,45.231345000000005,46.537605,47.688424999999995,48.81037499999999,50.072475,51.442,52.69581,53.90844,55.148435,56.328869999999995,57.48314,58.667625,59.79215,60.986965,62.283425,63.59237,65.04854,66.54186,68.1013,69.68786,71.24792,72.79867,74.282075,75.720095,77.111805,78.638125,80.345505,81.95812000000001,83.560415,85.096105,86.59895,88.05616,89.352795,90.62700000000001,91.88065,93.10873,94.371715,95.717685,96.998325,98.39014499999999,99.848005,101.407825,102.67101,103.71746,104.91282,106.084915,107.30777,108.5589,109.72333,110.878005,112.04111499999999,113.16805,114.22140999999999,115.21227,116.07090500000001,116.882835,117.65598499999999,118.402165,119.26151,120.18209,121.109555,122.05165500000001,122.99011999999999,123.88654,124.798135,125.68151499999999,126.523345,127.33327,128.19079,128.99062,129.78415999999999,130.59218499999997,131.419775,132.25392499999998,133.07509499999998,133.843095,134.381935,134.8994,135.40463,135.896745,136.379035,136.85492,137.331195,137.81927000000002,138.489725,139.33961499999998,140.18324,141.015755,141.83188,142.633105,143.387085,143.94121,144.47114,145.00166000000002,145.54143499999998,146.102195,146.595435,147.06946,147.53839,147.97359999999998,148.37817,148.75654,149.11987,149.47685,149.839265,150.223885
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,10^22 J,Heat Content|Ocean,40.517615,41.62312,42.68804,43.66229,44.89057,46.22813,47.50356,48.64854,49.69115,50.665775,51.631975,52.614215,53.66794,54.790495,55.94464,57.14576,58.45267,59.79181,61.18343,62.5018,63.646429999999995,64.762125,65.982445,67.22157,68.479555,69.75483,71.05767,72.38986,73.73147,75.181955,76.664285,78.009725,79.552885,81.012255,82.15445,83.18828500000001,84.17729,85.10543,86.03708,86.99689,87.96118,89.02942999999999,90.32453,91.28774,92.161415,93.20671,94.189675,95.054965,95.81910500000001,96.553225,97.29167,98.011845,98.829385,99.755475,100.69416000000001,101.57031,102.314295,103.14121,103.953695,104.755135,105.564515,106.39025000000001,107.05033,107.66638,108.27175,108.90587500000001,109.580905,110.227655,110.85764499999999,111.47883,112.09804500000001,112.73385999999999,113.346835,113.882225,114.40376499999999,114.895335,115.351695,115.78351,116.20205999999999,116.60582500000001,116.998805,117.38526,117.77369999999999,118.17853,118.603935,119.04205999999999,119.47763499999999,119.902995,120.30849,120.695885,121.06021,121.4031,121.769845,122.15493,122.45714,122.821925,123.226565,123.62191999999999,123.99063000000001,124.25944,124.500595,124.774675,125.036145,125.292415,125.55362,125.92009999999999
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,GtC / yr,Net Atmosphere to Land Flux|CO2,0.8814249999999999,0.94779,0.08243500000000001,1.076535,1.184245,1.16232,1.35752,1.286105,1.4897,1.28343,1.3932,1.394415,1.50094,1.90237,1.777825,1.783235,1.770335,1.73444,1.90768,1.65223,1.89651,1.965275,2.04202,2.14213,2.188245,2.21643,2.2945149999999996,2.324665,2.360515,2.392255,2.409225,2.4349499999999997,2.46338,2.4849449999999997,2.49924,2.50833,2.4500650000000004,2.3733500000000003,2.2953200000000002,2.20336,2.1111500000000003,2.01915,1.9303,1.8587449999999999,1.7928350000000002,1.7321,1.67398,1.635485,1.592585,1.556025,1.5204149999999998,1.479735,1.44011,1.412445,1.3720400000000001,1.315345,1.237365,1.1695250000000001,1.11806,1.0688,1.01394,0.95841,0.90812,0.8674550000000001,0.82661,0.791315,0.74899,0.7115750000000001,0.670805,0.633095,0.5951,0.5536,0.5204599999999999,0.48195,0.44743,0.416755,0.3853,0.35392,0.326515,0.3007,0.275135,0.25684,0.232645,0.216435,0.196495,0.18310500000000002,0.162965,0.134095,0.107235,0.083935,0.063165,0.040355,0.0228,0.006905,-0.01355,-0.035125,-0.01704,-5.000000000000013e-05,0.005335,0.01467,0.02943,0.045735,0.06735,0.088645,0.10805999999999999,0.12462
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,GtC / yr,Net Atmosphere to Ocean Flux|CO2,1.7400950000000002,1.693395,1.61344,1.7856049999999999,1.85254,1.729435,1.69958,1.799015,1.94835,1.93798,1.923715,1.9855450000000001,1.96755,1.9951599999999998,1.97439,2.03502,2.11571,2.09736,2.1863400000000004,2.156285,2.176615,2.2788500000000003,2.349565,2.38263,2.41378,2.4363,2.45455,2.4488399999999997,2.419935,2.3826799999999997,2.35092,2.319985,2.2789,2.23636,2.184885,2.1343300000000003,2.0837399999999997,2.0206749999999998,1.943495,1.85507,1.76269,1.67656,1.586265,1.4945149999999998,1.405145,1.303435,1.1973099999999999,1.11518,1.051565,0.99092,0.93463,0.8781950000000001,0.82304,0.770575,0.7215400000000001,0.6827650000000001,0.65442,0.624895,0.592245,0.559885,0.52801,0.49619,0.470905,0.454175,0.440315,0.426975,0.41861,0.411255,0.40063,0.386625,0.37525,0.36241500000000004,0.347865,0.32952000000000004,0.31206,0.305335,0.299385,0.29537,0.29056499999999996,0.28324,0.277595,0.269605,0.26254500000000003,0.254235,0.24138500000000002,0.23085,0.22290500000000002,0.21738000000000002,0.21284,0.21074,0.20527499999999999,0.20221,0.199125,0.19356,0.18731,0.177185,0.16961500000000002,0.16135500000000003,0.153535,0.151495,0.151775,0.153,0.15150999999999998,0.14823999999999998,0.144865,0.13857000000000003
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing,1.70978,1.782985,1.68762,1.86044,2.062045,2.07276,2.08708,2.07626,2.09088,2.10328,2.09244,2.139015,2.16634,2.27256,2.32048,2.319525,2.456915,2.47882,2.5719700000000003,2.5522549999999997,2.5956900000000003,2.634185,2.67667,2.719405,2.7664850000000003,2.80865,2.875045,2.93891,2.9888450000000004,3.025115,3.0412150000000002,3.0522299999999998,3.0668249999999997,3.08467,3.089645,3.08556,3.07584,3.08359,3.105415,3.12889,3.132855,3.13423,3.1074900000000003,3.090275,3.047045,3.0024550000000003,2.955925,2.920495,2.894545,2.877365,2.88051,2.87382,2.869975,2.854065,2.8156800000000004,2.77402,2.73652,2.702815,2.673545,2.65846,2.655495,2.6559600000000003,2.639265,2.6239749999999997,2.61235,2.574955,2.540135,2.5089949999999996,2.488195,2.472835,2.46164,2.464695,2.4696350000000002,2.47108,2.45196,2.424795,2.39954,2.3854249999999997,2.373025,2.355665,2.340235,2.3249,2.32196,2.32996,2.3367950000000004,2.340835,2.33293,2.32234,2.3031449999999998,2.2904549999999997,2.262365,2.23958,2.229185,2.22184,2.231255,2.248935,2.257455,2.279675,2.262975,2.23752,2.219055,2.1963749999999997,2.18648,2.177165,2.178035,2.184835
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols,-1.16993,-1.110475,-1.2422900000000001,-1.2611050000000001,-1.09968,-1.07604,-1.0767,-1.13929,-1.1570049999999998,-1.15759,-1.183865,-1.18078,-1.18802,-1.12779,-1.097835,-1.16647,-1.0999,-1.15506,-1.09594,-1.15202,-1.13814,-1.10703,-1.07512,-1.04244,-1.00827,-0.97792,-0.95061,-0.92279,-0.89437,-0.86529,-0.834805,-0.80617,-0.77845,-0.745455,-0.71176,-0.6872100000000001,-0.672495,-0.657635,-0.64296,-0.62818,-0.613265,-0.5982000000000001,-0.5829949999999999,-0.56767,-0.5522050000000001,-0.53815,-0.52652,-0.51482,-0.50302,-0.49111,-0.47909,-0.46699,-0.45478,-0.44246,-0.429755,-0.41813,-0.409135,-0.401355,-0.39403,-0.38592499999999996,-0.37765499999999996,-0.369345,-0.360995,-0.35250499999999996,-0.344275,-0.33733,-0.33265,-0.32835499999999995,-0.32404,-0.31922,-0.31423,-0.30922,-0.30323500000000003,-0.297675,-0.29263,-0.28638,-0.27932,-0.27222,-0.26507,-0.25789,-0.25067,-0.24318,-0.23354999999999998,-0.227935,-0.22107,-0.21348,-0.206845,-0.20019,-0.19351000000000002,-0.18891000000000002,-0.18339,-0.177915,-0.172845,-0.168925,-0.16394999999999998,-0.157275,-0.150335,-0.143725,-0.13709,-0.13044,-0.12309,-0.11554,-0.10708000000000001,-0.0986,-0.090985,-0.08457
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Direct Effect,-0.351425,-0.350525,-0.354645,-0.355305,-0.335125,-0.336895,-0.33443,-0.327515,-0.33284,-0.33883,-0.3373,-0.33032,-0.32462,-0.31991,-0.301115,-0.291845,-0.289845,-0.28844,-0.28503,-0.288235,-0.28862,-0.28641,-0.28232,-0.276835,-0.27138,-0.267825,-0.26453499999999996,-0.25994,-0.254755,-0.24955499999999997,-0.243505,-0.23721,-0.230905,-0.224585,-0.218245,-0.21323999999999999,-0.20993,-0.206615,-0.202875,-0.19825,-0.19396999999999998,-0.1916,-0.188575,-0.18307,-0.17772,-0.175875,-0.175105,-0.174475,-0.17383500000000002,-0.17319,-0.172035,-0.17028,-0.168825,-0.16753,-0.165185,-0.16277,-0.16092499999999998,-0.159075,-0.157225,-0.15537,-0.15352,-0.15167,-0.149815,-0.14795999999999998,-0.14610499999999998,-0.144725,-0.143785,-0.142845,-0.14212999999999998,-0.141645,-0.140675,-0.1397,-0.138725,-0.137745,-0.136765,-0.13588499999999998,-0.13505,-0.13395,-0.13223,-0.13051000000000001,-0.12878499999999998,-0.12706,-0.12532500000000002,-0.123595,-0.12245500000000001,-0.12206,-0.12179,-0.12152,-0.12125,-0.12098,-0.12071,-0.12044,-0.12016,-0.11989,-0.11877,-0.11680499999999999,-0.11438999999999999,-0.11222,-0.110575,-0.108935,-0.10729,-0.10565,-0.10287,-0.10046,-0.09811,-0.095585
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|Aerosols|Indirect Effect,-0.863775,-0.7680899999999999,-0.93159,-0.9502299999999999,-0.7823899999999999,-0.72444,-0.725025,-0.826855,-0.8369949999999999,-0.833005,-0.864835,-0.855695,-0.88036,-0.8105100000000001,-0.790295,-0.8736900000000001,-0.8087850000000001,-0.854645,-0.80646,-0.85043,-0.83731,-0.811755,-0.7855449999999999,-0.75868,-0.72919,-0.70108,-0.67647,-0.65134,-0.62565,-0.600625,-0.577455,-0.553755,-0.53027,-0.5094449999999999,-0.48238000000000003,-0.46287,-0.45158,-0.440155,-0.42862,-0.41695000000000004,-0.40342,-0.389725,-0.37709499999999996,-0.365005,-0.35277000000000003,-0.34203,-0.332855,-0.323615,-0.314295,-0.30574,-0.29579500000000003,-0.28579,-0.27569,-0.26549,-0.255205,-0.247155,-0.240635,-0.233475,-0.22627,-0.219045,-0.21178,-0.204465,-0.197105,-0.19092,-0.184945,-0.17966500000000002,-0.175105,-0.17053000000000001,-0.16594,-0.161315,-0.156675,-0.15202,-0.147345,-0.14176,-0.135625,-0.12956,-0.12445999999999999,-0.11963499999999999,-0.11477499999999999,-0.10847,-0.101825,-0.097495,-0.093135,-0.08897,-0.08488000000000001,-0.08138000000000001,-0.0776,-0.07517,-0.07082,-0.066385,-0.06323999999999999,-0.058325,-0.05363,-0.04976,-0.04459,-0.040135000000000004,-0.03361,-0.027700000000000002,-0.02094,-0.017765,-0.01401,-0.01028,-0.00454,-0.00034500000000000004,0.00206,0.00489
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|CH4,0.47623000000000004,0.47691,0.47846999999999995,0.481705,0.48460000000000003,0.484475,0.48389000000000004,0.484755,0.48644,0.48663999999999996,0.48628,0.48626,0.488265,0.49171,0.49302500000000005,0.49509499999999995,0.49695,0.49771,0.500335,0.503525,0.50726,0.5125649999999999,0.516305,0.5186949999999999,0.5198400000000001,0.51982,0.5187200000000001,0.51649,0.51319,0.50928,0.5045,0.49887,0.49244,0.48526,0.47737,0.46891,0.45991,0.45097,0.44208,0.43322,0.42433,0.415535,0.40659,0.39762,0.3887,0.379825,0.370545,0.361945,0.354355,0.347385,0.34113499999999997,0.33538999999999997,0.33011500000000005,0.32528,0.320855,0.316825,0.31317,0.309685,0.30635,0.30315000000000003,0.30008,0.29712000000000005,0.29425,0.29147500000000004,0.288785,0.286165,0.283575,0.281275,0.27920500000000004,0.27734000000000003,0.275675,0.27418,0.272845,0.271655,0.270595,0.269665,0.26885499999999996,0.268115,0.267445,0.26683,0.26627,0.26576500000000003,0.2653,0.264865,0.26445,0.26407,0.26371,0.26332,0.2629,0.26246,0.26201,0.26153,0.26104,0.26054,0.26002,0.259465,0.25886,0.25812,0.25726499999999997,0.2563,0.25525,0.254115,0.25290999999999997,0.25164,0.250295,0.24889
MAGICC7,4044db5c-2e46-44bb-bbc5-19b231058f42,paris_ratchet,0.5,,,World,ratchet_strength4_ndc_gr_CVrebound,climate,not_relevant,W/m^2,Effective Radiative Forcing|CO2,1.42261,1.449525,1.4684599999999999,1.508995,1.53774,1.5569000000000002,1.5800049999999999,1.6121400000000001,1.65022,1.6734,1.701525,1.7321849999999999,1.7553100000000001,1.7861850000000001,1.80837,1.8433,1.8750499999999999,1.90445,1.94262,1.96815,2.0016499999999997,2.0391500000000002,2.0776149999999998,2.1151549999999997,2.15229,2.189585,2.2265949999999997,2.26042,2.29162,2.31956,2.34539,2.368745,2.38898,2.4073450000000003,2.422125,2.4353049999999996,2.446545,2.45247,2.45458,2.4526700000000003,2.45174,2.45075,2.4461500000000003,2.4409549999999998,2.430185,2.415495,2.395305,2.379515,2.36069,2.34147,2.322585,2.30351,2.2845,2.26565,2.24676,2.22772,2.20848,2.18993,2.171285,2.15237,2.1338850000000003,2.117085,2.102255,2.0876900000000003,2.0755850000000002,2.06128,2.044715,2.030895,2.016455,2.001265,1.986425,1.9733100000000001,1.9606400000000002,1.94914,1.93785,1.92679,1.91598,1.905435,1.89513,1.88501,1.8744100000000001,1.862895,1.851575,1.84048,1.8296100000000002,1.81725,1.80351,1.79208,1.782085,1.772365,1.7627350000000002,1.7531599999999998,1.743645,1.73394,1.723565,1.713375,1.7034449999999999,1.69381,1.6848049999999999,1.676565,1.668365,1.6601949999999999,1.652065,1.643775,1.6357949999999999,1.62798
